season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2021,REG,CHI,1,00-0031551,DT,Eddie Goldman,Eddie,Goldman,Knee,Ankle,Doubtful,Knee,Ankle,Did Not Participate In Practice,2021-09-10 19:08:46+00:00
2021,REG,CHI,1,00-0032774,S,Deon Bush,Deon,Bush,Shoulder,,Questionable,Shoulder,,Full Participation in Practice,2021-09-10 19:08:35+00:00
2021,REG,CHI,1,00-0034372,LB,Joel Iyiegbuniwe,Joel,Iyiegbuniwe,Shoulder,,Questionable,Shoulder,,Full Participation in Practice,2021-09-10 19:08:35+00:00
2021,REG,CHI,1,00-0033784,S,Eddie Jackson,Eddie,Jackson,Wrist,,Questionable,Wrist,,Full Participation in Practice,2021-09-10 19:08:35+00:00
2021,REG,CHI,1,00-0031040,LB,Khalil Mack,Khalil,Mack,Groin,,Questionable,Groin,,Full Participation in Practice,2021-09-10 19:08:35+00:00
2021,REG,CHI,1,00-0036309,WR,Darnell Mooney,Darnell,Mooney,Back,,Questionable,Back,,Full Participation in Practice,2021-09-10 19:08:35+00:00
2021,REG,CHI,1,00-0027952,LB,Robert Quinn,Robert,Quinn,Back,,Questionable,Back,,Full Participation in Practice,2021-09-10 19:08:35+00:00
2021,REG,CHI,1,00-0028284,LS,Patrick Scales,Patrick,Scales,Ankle,,Questionable,Ankle,,Full Participation in Practice,2021-09-10 19:08:35+00:00
2021,REG,CHI,1,00-0028924,S,Tashaun Gipson,Tashaun,Gipson,Back,,Questionable,Back,,Limited Participation in Practice,2021-09-10 19:08:35+00:00
2021,REG,CIN,1,00-0036856,C,Trey Hill,Trey,Hill,,,,Hip,,Full Participation in Practice,2021-09-10 18:15:36+00:00
2021,REG,CIN,1,00-0035771,TE,Mitchell Wilcox,Mitchell,Wilcox,,,,Concussion,,Full Participation in Practice,2021-09-10 18:15:36+00:00
2021,REG,CIN,1,00-0031546,CB,Trae Waynes,Trae,Waynes,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2021-09-10 18:16:15+00:00
2021,REG,CLE,1,00-0032977,WR,Rashard Higgins,Rashard,Higgins,,,,Hamstring,,Full Participation in Practice,2021-09-10 17:56:00+00:00
2021,REG,CLE,1,00-0031785,CB,Troy Hill,Troy,Hill,,,,Hamstring,,Full Participation in Practice,2021-09-10 17:56:53+00:00
2021,REG,CLE,1,00-0035646,LB,Sione Takitaki,Sione,Takitaki,,,,Hamstring,,Full Participation in Practice,2021-09-10 17:49:37+00:00
2021,REG,CLE,1,00-0035638,CB,Greedy Williams,Greedy,Williams,,,,Groin,,Full Participation in Practice,2021-09-10 17:57:05+00:00
2021,REG,CLE,1,00-0036634,LB,Tony Fields,Tony,Fields,Illness,,Out,Illness,,Did Not Participate In Practice,2021-09-10 18:02:31+00:00
2021,REG,CLE,1,00-0033995,T,Michael Dunn,Michael,Dunn,Back,,Out,Back,,Limited Participation in Practice,2021-09-10 18:01:47+00:00
2021,REG,CLE,1,00-0034779,S,Ronnie Harrison,Ronnie,Harrison,Ankle,,Questionable,Ankle,,Full Participation in Practice,2021-09-10 18:00:45+00:00
2021,REG,CLE,1,00-0035358,K,Chase McLaughlin,Chase,McLaughlin,right Hamstring,,Questionable,right Hamstring,,Full Participation in Practice,2021-09-10 18:04:43+00:00
2021,REG,CLE,1,00-0031235,WR,Odell Beckham,Odell,Beckham,Knee,,Questionable,Knee,,Limited Participation in Practice,2021-09-10 18:01:27+00:00
2021,REG,CLE,1,00-0031364,DE,Jadeveon Clowney,Jadeveon,Clowney,Illness,,Questionable,Illness,,Limited Participation in Practice,2021-09-10 18:00:45+00:00
2021,REG,CLE,1,00-0036282,S,Grant Delpit,Grant,Delpit,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2021-09-10 18:00:45+00:00
2021,REG,CLE,1,00-0030076,C,J.C. Tretter,J.C.,Tretter,Knee,,Questionable,Knee,,Limited Participation in Practice,2021-09-10 18:00:45+00:00
2021,REG,DAL,1,00-0033917,DE,Tarell Basham,Tarell,Basham,,,,Ankle,,Full Participation in Practice,2021-09-08 18:04:29+00:00
2021,REG,DAL,1,00-0031534,T,La'el Collins,La'el,Collins,,,,Neck,,Full Participation in Practice,2021-09-08 18:04:29+00:00
2021,REG,DAL,1,00-0036982,DE,Chauncey Golston,Chauncey,Golston,,,,Hamstring,,Full Participation in Practice,2021-09-08 18:04:29+00:00
2021,REG,DAL,1,00-0031357,CB,C.J. Goodwin,C.J.,Goodwin,,,,Hamstring,,Full Participation in Practice,2021-09-08 18:04:29+00:00
2021,REG,DAL,1,00-0031411,DE,Demarcus Lawrence,Demarcus,Lawrence,,,,Back,,Full Participation in Practice,2021-09-08 18:04:29+00:00
2021,REG,DAL,1,00-0028394,LS,Jake McQuaide,Jake,McQuaide,,,,Foot,,Full Participation in Practice,2021-09-08 18:04:29+00:00
2021,REG,DAL,1,00-0029709,T,Ty Nsekhe,Ty,Nsekhe,,,,Foot,,Full Participation in Practice,2021-09-08 18:16:14+00:00
2021,REG,DAL,1,00-0033077,QB,Dak Prescott,Dak,Prescott,,,,right Shoulder,,Full Participation in Practice,2021-09-08 18:04:29+00:00
2021,REG,DAL,1,00-0035301,S,Donovan Wilson,Donovan,Wilson,,,,Groin,,Full Participation in Practice,2021-09-08 18:04:29+00:00
2021,REG,DEN,1,00-0035644,TE,Noah Fant,Noah,Fant,,,,Knee,,Full Participation in Practice,2021-09-10 19:30:52+00:00
2021,REG,DEN,1,00-0027940,LB,Von Miller,Von,Miller,,,,Ankle,,Full Participation in Practice,2021-09-10 19:30:52+00:00
2021,REG,DEN,1,00-0036423,TE,Albert Okwuegbunam,Albert,Okwuegbunam,,,,Knee,,Full Participation in Practice,2021-09-10 19:30:52+00:00
2021,REG,DEN,1,00-0034348,WR,Courtland Sutton,Courtland,Sutton,,,,Knee,,Full Participation in Practice,2021-09-10 19:30:52+00:00
2021,REG,DEN,1,00-0034832,LB,Bradley Chubb,Bradley,Chubb,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2021-09-10 19:31:50+00:00
2021,REG,DET,1,00-0029738,TE,Darren Fells,Darren,Fells,,,,Shoulder,,Full Participation in Practice,2021-09-10 19:50:27+00:00
2021,REG,DET,1,00-0035229,TE,T.J. Hockenson,T.J.,Hockenson,,,,Shoulder,,Full Participation in Practice,2021-09-10 19:50:06+00:00
2021,REG,DET,1,00-0036275,RB,D'Andre Swift,D'Andre,Swift,,,,Groin,,Full Participation in Practice,2021-09-10 19:50:06+00:00
2021,REG,DET,1,00-0032381,T,Taylor Decker,Taylor,Decker,Finger,,Out,Finger,,Did Not Participate In Practice,2021-09-10 19:51:58+00:00
2021,REG,DET,1,00-0029630,DE,Michael Brockers,Michael,Brockers,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2021-09-10 19:51:26+00:00
2021,REG,DET,1,00-0036954,DT,Levi Onwuzurike,Levi,Onwuzurike,Hip,,Questionable,Hip,,Limited Participation in Practice,2021-09-10 19:51:26+00:00
2021,REG,DET,1,00-0036752,CB,A.J. Parker,A.J.,Parker,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2021-09-10 19:51:26+00:00
2021,REG,DET,1,00-0030500,DE,Nicholas Williams,Nicholas,Williams,Elbow,,Questionable,Elbow,,Limited Participation in Practice,2021-09-10 19:51:26+00:00
2021,REG,GB,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2021-09-10 19:41:29+00:00
2021,REG,GB,1,00-0031935,LB,Preston Smith,Preston,Smith,,,,Head,,Full Participation in Practice,2021-09-10 19:41:40+00:00
2021,REG,GB,1,00-0036243,S,Vernon Scott,Vernon,Scott,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2021-09-10 19:42:10+00:00
2021,REG,GB,1,00-0031576,LB,Za'Darius Smith,Za'Darius,Smith,Back,,Questionable,Back,,Did Not Participate In Practice,2021-09-10 19:41:48+00:00
2021,REG,GB,1,00-0034185,DT,Tyler Lancaster,Tyler,Lancaster,Back,,Questionable,Back,,Limited Participation in Practice,2021-09-10 19:41:48+00:00
2021,REG,HOU,1,00-0033131,DT,Maliek Collins,Maliek,Collins,,,,Knee,,Full Participation in Practice,2021-09-10 20:04:10+00:00
2021,REG,HOU,1,00-0029643,DE,Whitney Mercilus,Whitney,Mercilus,,,,Thigh,,Full Participation in Practice,2021-09-10 20:04:05+00:00
2021,REG,HOU,1,00-0035244,CB,Lonnie Johnson,Lonnie,Johnson,Thigh,,Out,Thigh,,Did Not Participate In Practice,2021-09-10 20:05:18+00:00
2021,REG,HOU,1,00-0033537,QB,Deshaun Watson,Deshaun,Watson,Not injury related - personal matter,,Out,Not injury related - personal matter,,Did Not Participate In Practice,2021-09-10 20:05:25+00:00
2021,REG,HOU,1,00-0036224,DE,Jonathan Greenard,Jonathan,Greenard,Illness,,Questionable,Illness,,Did Not Participate In Practice,2021-09-10 20:05:00+00:00
2021,REG,HOU,1,00-0031308,LB,Kevin Pierre-Louis,Kevin,Pierre-Louis,Thigh,,Questionable,Thigh,,Did Not Participate In Practice,2021-09-10 20:05:00+00:00
2021,REG,IND,1,00-0034846,LB,Shaquille Leonard,Shaquille,Leonard,,,,Ankle,,Did Not Participate In Practice,2021-09-10 19:48:34+00:00
2021,REG,IND,1,00-0035639,WR,Parris Campbell,Parris,Campbell,,,,Achilles,,Full Participation in Practice,2021-09-10 19:48:10+00:00
2021,REG,IND,1,00-0030181,TE,Jack Doyle,Jack,Doyle,,,,Not injury related - resting player,,Full Participation in Practice,2021-09-10 19:48:43+00:00
2021,REG,IND,1,00-0032950,QB,Carson Wentz,Carson,Wentz,,,,Foot,,Full Participation in Practice,2021-09-10 19:48:10+00:00
2021,REG,IND,1,00-0030575,CB,Xavier Rhodes,Xavier,Rhodes,Calf,,Out,Calf,,Did Not Participate In Practice,2021-09-10 19:50:23+00:00
2021,REG,IND,1,00-0034354,DE,Kemoko Turay,Kemoko,Turay,Groin,,Out,Groin,,Did Not Participate In Practice,2021-09-10 19:50:28+00:00
2021,REG,IND,1,00-0030584,T,Eric Fisher,Eric,Fisher,Achilles,,Out,Achilles,,Limited Participation in Practice,2021-09-10 19:50:11+00:00
2021,REG,IND,1,00-0034342,G,Quenton Nelson,Quenton,Nelson,Foot,Back,Questionable,Foot,Back,Full Participation in Practice,2021-09-10 19:49:54+00:00
2021,REG,IND,1,00-0036215,G,Danny Pinter,Danny,Pinter,Foot,,Questionable,Foot,,Full Participation in Practice,2021-09-10 19:49:54+00:00
2021,REG,JAX,1,00-0034516,CB,Tre Herndon,Tre,Herndon,Knee,,Out,Knee,,Did Not Participate In Practice,2021-09-10 18:40:51+00:00
2021,REG,JAX,1,00-0036974,CB,Tyson Campbell,Tyson,Campbell,Calf,,Questionable,Calf,,Limited Participation in Practice,2021-09-10 18:40:42+00:00
2021,REG,JAX,1,00-0036868,DE,Jordan Smith,Jordan,Smith,Knee,,Questionable,Knee,,Limited Participation in Practice,2021-09-10 18:40:42+00:00
2021,REG,KC,1,00-0031022,G,Laurent Duvernay-Tardif,Laurent,Duvernay-Tardif,,,,Hand,,Full Participation in Practice,2021-09-10 19:42:23+00:00
2021,REG,KC,1,00-0036360,RB,Clyde Edwards-Helaire,Clyde,Edwards-Helaire,,,,Ankle,,Full Participation in Practice,2021-09-10 19:42:23+00:00
2021,REG,KC,1,00-0035140,WR,Mecole Hardman,Mecole,Hardman,,,,Oblique,,Full Participation in Practice,2021-09-10 19:42:23+00:00
2021,REG,KC,1,00-0029164,T,Mike Remmers,Mike,Remmers,,,,Knee,,Full Participation in Practice,2021-09-10 19:42:23+00:00
2021,REG,KC,1,00-0036660,G,Trey Smith,Trey,Smith,,,,Shoulder,,Full Participation in Practice,2021-09-10 19:42:23+00:00
2021,REG,KC,1,00-0032455,C,Austin Blythe,Austin,Blythe,Abdomen,,Out,Abdomen,,Did Not Participate In Practice,2021-09-10 19:44:51+00:00
2021,REG,KC,1,00-0030459,S,Tyrann Mathieu,Tyrann,Mathieu,Illness,,Questionable,,,"
    ",2021-09-11 20:34:43+00:00
2021,REG,KC,1,00-0032210,DE,Frank Clark,Frank,Clark,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2021-09-10 19:44:30+00:00
2021,REG,KC,1,00-0034818,DT,Derrick Nnadi,Derrick,Nnadi,Hip,,Questionable,Hip,,Limited Participation in Practice,2021-09-10 19:44:30+00:00
2021,REG,LA,1,00-0026189,WR,DeSean Jackson,DeSean,Jackson,,,,Not injury related - resting player,,Did Not Participate In Practice,2021-09-10 19:49:08+00:00
2021,REG,LA,1,00-0036419,LB,Terrell Lewis,Terrell,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2021-09-10 19:46:53+00:00
2021,REG,LA,1,00-0032889,DT,A'Shawn Robinson,A'Shawn,Robinson,,,,Knee,,Full Participation in Practice,2021-09-10 19:47:22+00:00
2021,REG,LA,1,00-0024270,T,Andrew Whitworth,Andrew,Whitworth,,,,Not injury related - resting player,,Full Participation in Practice,2021-09-10 19:46:53+00:00
2021,REG,LA,1,00-0036862,WR,Ben Skowronek,Ben,Skowronek,Forearm,,Doubtful,Forearm,,Limited Participation in Practice,2021-09-10 19:51:23+00:00
2021,REG,LAC,1,00-0027875,T,Bryan Bulaga,Bryan,Bulaga,,,,Groin,,Full Participation in Practice,2021-09-10 19:58:24+00:00
2021,REG,LAC,1,00-0035908,RB,Gabe Nabers,Gabe,Nabers,,,,Knee,,Full Participation in Practice,2021-09-10 19:58:24+00:00
2021,REG,LAC,1,00-0034111,S,Trey Marshall,Trey,Marshall,Ankle,,Out,Ankle,,Did Not Participate In Practice,2021-09-10 19:59:01+00:00
2021,REG,LAC,1,00-0033699,RB,Austin Ekeler,Austin,Ekeler,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2021-09-10 19:58:45+00:00
2021,REG,LV,1,00-0035692,DE,Clelin Ferrell,Clelin,Ferrell,,,,Back,,Full Participation in Practice,2021-09-11 19:30:27+00:00
2021,REG,LV,1,00-0036892,T,Alex Leatherwood,Alex,Leatherwood,,,,Shin,,Full Participation in Practice,2021-09-11 19:30:27+00:00
2021,REG,LV,1,00-0033129,DE,Carl Nassib,Carl,Nassib,,,,Pectoral,,Full Participation in Practice,2021-09-11 19:30:27+00:00
2021,REG,LV,1,00-0035700,RB,Josh Jacobs,Josh,Jacobs,,,,Toe,,Limited Participation in Practice,2021-09-11 19:30:27+00:00
2021,REG,LV,1,00-0023516,G,Richie Incognito,Richie,Incognito,Calf,,Out,Calf,,Did Not Participate In Practice,2021-09-11 19:30:40+00:00
2021,REG,LV,1,00-0035437,CB,Roderic Teamer,Roderic,Teamer,Shoulder,Ankle,Doubtful,Shoulder,Ankle,Did Not Participate In Practice,2021-09-11 19:30:51+00:00
2021,REG,MIA,1,00-0036020,RB,Salvon Ahmed,Salvon,Ahmed,,,,Back,,Full Participation in Practice,2021-09-09 19:45:43+00:00
2021,REG,MIA,1,00-0037010,T,Liam Eichenberg,Liam,Eichenberg,,,,Thigh,,Full Participation in Practice,2021-09-10 19:37:06+00:00
2021,REG,MIA,1,00-0032807,S,Clayton Fejedelem,Clayton,Fejedelem,,,,Shoulder,,Full Participation in Practice,2021-09-10 19:36:35+00:00
2021,REG,MIA,1,00-0031547,WR,DeVante Parker,DeVante,Parker,,,,Shoulder,,Full Participation in Practice,2021-09-10 19:36:35+00:00
2021,REG,MIA,1,00-0032442,LB,Elandon Roberts,Elandon,Roberts,,,,Knee,,Full Participation in Practice,2021-09-10 19:36:35+00:00
2021,REG,MIA,1,00-0030669,WR,Albert Wilson,Albert,Wilson,,,,Quadricep,,Full Participation in Practice,2021-09-10 19:36:35+00:00
2021,REG,MIA,1,00-0036248,T,Austin Jackson,Austin,Jackson,Illness,,Questionable,,,"
    ",2021-09-11 20:36:12+00:00
2021,REG,MIA,1,00-0035350,WR,Preston Williams,Preston,Williams,Foot,,Questionable,Foot,,Limited Participation in Practice,2021-09-10 19:59:42+00:00
2021,REG,MIN,1,00-0034270,TE,Tyler Conklin,Tyler,Conklin,,,,Hamstring,,Full Participation in Practice,2021-09-10 18:24:14+00:00
2021,REG,MIN,1,00-0034972,RB,Alexander Mattison,Alexander,Mattison,,,,Ribs,,Full Participation in Practice,2021-09-10 18:24:14+00:00
2021,REG,MIN,1,00-0036348,S,Josh Metellus,Josh,Metellus,,,,Ankle,,Full Participation in Practice,2021-09-10 18:24:14+00:00
2021,REG,MIN,1,00-0033839,WR,Dede Westbrook,Dede,Westbrook,,,,Knee,,Full Participation in Practice,2021-09-10 18:24:14+00:00
2021,REG,MIN,1,00-0031256,LB,Anthony Barr,Anthony,Barr,Knee,,Out,Knee,,Did Not Participate In Practice,2021-09-10 18:24:24+00:00
2021,REG,MIN,1,00-0036616,T,Christian Darrisaw,Christian,Darrisaw,Groin,,Out,Groin,,Limited Participation in Practice,2021-09-10 18:24:30+00:00
2021,REG,NE,1,00-0036245,WR,Malcolm Perry,Malcolm,Perry,Foot,,Out,Foot,,Did Not Participate In Practice,2021-09-10 19:49:01+00:00
2021,REG,NE,1,00-0031549,WR,Nelson Agholor,Nelson,Agholor,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2021-09-10 19:48:51+00:00
2021,REG,NE,1,00-0035252,T,Yodny Cajuste,Yodny,Cajuste,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2021-09-10 19:48:51+00:00
2021,REG,NE,1,00-0032803,S,Jalen Mills,Jalen,Mills,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2021-09-10 19:48:51+00:00
2021,REG,NE,1,00-0036978,LB,Ronnie Perkins,Ronnie,Perkins,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2021-09-10 19:48:51+00:00
2021,REG,NO,1,00-0030067,T,Terron Armstead,Terron,Armstead,,,,Back,,Did Not Participate In Practice,2021-09-10 20:12:36+00:00
2021,REG,NO,1,00-0032875,CB,Ken Crawley,Ken,Crawley,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2021-09-10 20:14:47+00:00
2021,REG,NO,1,00-0034765,WR,Tre'Quan Smith,Tre'Quan,Smith,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2021-09-10 20:15:16+00:00
2021,REG,NO,1,00-0030694,T,James Hurst,James,Hurst,Knee,,Questionable,Knee,,Did Not Participate In Practice,2021-09-10 20:15:58+00:00
2021,REG,NO,1,00-0033874,CB,Marshon Lattimore,Marshon,Lattimore,Knee,,Questionable,Knee,,Full Participation in Practice,2021-09-11 23:31:15+00:00
2021,REG,NYG,1,00-0033932,WR,Kenny Golladay,Kenny,Golladay,,,,Hamstring,,Limited Participation in Practice,2021-09-10 19:14:40+00:00
2021,REG,NYG,1,00-0036673,LB,Justin Hilliard,Justin,Hilliard,,,,Foot,,Limited Participation in Practice,2021-09-10 19:14:40+00:00
2021,REG,NYG,1,00-0034751,CB,Josh Jackson,Josh,Jackson,,,,Calf,,Limited Participation in Practice,2021-09-10 19:14:40+00:00
2021,REG,NYG,1,00-0027981,TE,Kyle Rudolph,Kyle,Rudolph,,,,Foot,,Limited Participation in Practice,2021-09-10 19:14:40+00:00
2021,REG,NYG,1,00-0032143,DT,Danny Shelton,Danny,Shelton,,,,Neck,,Limited Participation in Practice,2021-09-10 19:14:40+00:00
2021,REG,NYG,1,00-0034988,TE,Kaden Smith,Kaden,Smith,,,,Knee,,Limited Participation in Practice,2021-09-10 19:14:40+00:00
2021,REG,NYG,1,00-0036386,T,Andrew Thomas,Andrew,Thomas,,,,Ankle,,Limited Participation in Practice,2021-09-10 19:14:40+00:00
2021,REG,NYG,1,00-0036913,WR,Kadarius Toney,Kadarius,Toney,,,,Hamstring,,Limited Participation in Practice,2021-09-10 19:14:40+00:00
2021,REG,NYG,1,00-0033881,TE,Evan Engram,Evan,Engram,Calf,,Out,Calf,,Did Not Participate In Practice,2021-09-10 19:14:56+00:00
2021,REG,NYG,1,00-0034844,RB,Saquon Barkley,Saquon,Barkley,Knee,,Questionable,Knee,,Limited Participation in Practice,2021-09-10 19:14:46+00:00
2021,REG,NYG,1,00-0033878,CB,Adoree' Jackson,Adoree',Jackson,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2021-09-10 19:14:46+00:00
2021,REG,NYJ,1,00-0036284,T,Mekhi Becton,Mekhi,Becton,,,,Concussion,,Full Participation in Practice,2021-09-10 20:42:17+00:00
2021,REG,NYJ,1,00-0032592,S,Sharrod Neasman,Sharrod,Neasman,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2021-09-10 20:45:02+00:00
2021,REG,NYJ,1,00-0033681,WR,Keelan Cole,Keelan,Cole,Knee,,Questionable,Knee,,Did Not Participate In Practice,2021-09-10 20:43:54+00:00
2021,REG,NYJ,1,00-0036269,RB,La'Mical Perine,La'Mical,Perine,Foot,,Questionable,Foot,,Full Participation in Practice,2021-09-10 20:43:54+00:00
2021,REG,PHI,1,00-0029679,G,Brandon Brooks,Brandon,Brooks,,,,Knee,,Limited Participation in Practice,2021-09-10 18:04:34+00:00
2021,REG,PHI,1,00-0037002,G,Landon Dickerson,Landon,Dickerson,Knee,,Out,Knee,,Limited Participation in Practice,2021-09-10 18:04:53+00:00
2021,REG,PHI,1,00-0028899,S,Rodney McLeod,Rodney,McLeod,Knee,,Out,Knee,,Limited Participation in Practice,2021-09-10 18:04:59+00:00
2021,REG,PHI,1,00-0036393,LB,Davion Taylor,Davion,Taylor,Calf,,Questionable,Calf,,Full Participation in Practice,2021-09-10 18:04:44+00:00
2021,REG,PIT,1,00-0027862,DE,Tyson Alualu,Tyson,Alualu,,,,Elbow,,Full Participation in Practice,2021-09-10 18:31:43+00:00
2021,REG,PIT,1,00-0036983,C,Kendrick Green,Kendrick,Green,,,,Thumb,,Full Participation in Practice,2021-09-10 18:31:43+00:00
2021,REG,PIT,1,00-0034676,WR,James Washington,James,Washington,,,,Finger,,Limited Participation in Practice,2021-09-10 18:32:13+00:00
2021,REG,PIT,1,00-0036333,LB,Alex Highsmith,Alex,Highsmith,Groin,,Questionable,Groin,,Full Participation in Practice,2021-09-10 18:32:27+00:00
2021,REG,SEA,1,00-0026166,T,Duane Brown,Duane,Brown,,,,Not injury related - resting player,,Did Not Participate In Practice,2021-09-10 21:03:31+00:00
2021,REG,SEA,1,00-0031367,G,Gabe Jackson,Gabe,Jackson,,,,Not injury related - resting player,,Did Not Participate In Practice,2021-09-10 21:03:39+00:00
2021,REG,SEA,1,00-0035139,S,Marquise Blair,Marquise,Blair,,,,Knee,,Full Participation in Practice,2021-09-08 23:14:59+00:00
2021,REG,SEA,1,00-0033594,RB,Chris Carson,Chris,Carson,,,,Neck,,Full Participation in Practice,2021-09-10 21:02:28+00:00
2021,REG,SEA,1,00-0032426,RB,Alex Collins,Alex,Collins,,,,Foot,,Full Participation in Practice,2021-09-08 22:59:34+00:00
2021,REG,SEA,1,00-0036620,WR,D'Wayne Eskridge,D'Wayne,Eskridge,,,,Toe,,Full Participation in Practice,2021-09-10 21:02:28+00:00
2021,REG,SEA,1,00-0034756,CB,Tre Flowers,Tre,Flowers,,,,Finger,,Full Participation in Practice,2021-09-08 23:15:26+00:00
2021,REG,SEA,1,00-0033543,CB,Sidney Jones,Sidney,Jones,,,,Groin,,Full Participation in Practice,2021-09-10 21:03:58+00:00
