season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2024,REG,BUF,1,00-0039879,DE,Javon Solomon,Javon,Solomon,Oblique,,Out,Oblique,,Did Not Participate In Practice,2024-09-06 19:35:04
2024,REG,BUF,1,00-0033907,DE,Dawuane Smoot,Dawuane,Smoot,Toe,,Questionable,Toe,,Did Not Participate In Practice,2024-09-06 19:35:24
2024,REG,CAR,1,00-0031785,CB,Troy Hill,Troy,Hill,,,,Heel,,Full Participation in Practice,2024-09-06 18:14:56
2024,REG,CAR,1,00-0035243,RB,Miles Sanders,Miles,Sanders,,,,Finger,,Full Participation in Practice,2024-09-06 18:15:09
2024,REG,CAR,1,00-0034365,TE,Ian Thomas,Ian,Thomas,Calf,,Out,Calf,,Did Not Participate In Practice,2024-09-06 18:15:34
2024,REG,CAR,1,00-0037005,TE,Tommy Tremble,Tommy,Tremble,Hamstring,Back,Out,Hamstring,Back,Did Not Participate In Practice,2024-09-06 18:15:52
2024,REG,CAR,1,00-0035084,T,Yosuah Nijman,Yosuah,Nijman,Tibia,,Questionable,Tibia,,Limited Participation in Practice,2024-09-06 18:16:06
2024,REG,CHI,1,00-0039822,T,Kiran Amegadjie,Kiran,Amegadjie,,,,Quadricep,,Full Participation in Practice,2024-09-06 19:09:42
2024,REG,CHI,1,00-0035382,C,Ryan Bates,Ryan,Bates,,,,Shoulder,,Full Participation in Practice,2024-09-06 19:09:16
2024,REG,CHI,1,00-0039021,RB,Roschon Johnson,Roschon,Johnson,,,,Toe,,Full Participation in Practice,2024-09-06 19:09:51
2024,REG,CHI,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-06 19:09:24
2024,REG,CHI,1,00-0038937,DT,Zacch Pickens,Zacch,Pickens,Groin,,Out,Groin,,Did Not Participate In Practice,2024-09-06 19:11:41
2024,REG,CHI,1,00-0036413,DE,Darrell Taylor,Darrell,Taylor,Foot,,Questionable,Foot,,Did Not Participate In Practice,2024-09-06 19:11:10
2024,REG,CHI,1,00-0030279,WR,Keenan Allen,Keenan,Allen,Heel,,Questionable,Heel,,Full Participation in Practice,2024-09-06 19:11:10
2024,REG,CHI,1,00-0035647,DE,Montez Sweat,Montez,Sweat,Toe,,Questionable,Toe,,Full Participation in Practice,2024-09-06 19:11:10
2024,REG,CHI,1,00-0033782,DE,DeMarcus Walker,DeMarcus,Walker,Groin,,Questionable,Groin,,Limited Participation in Practice,2024-09-06 19:11:10
2024,REG,CIN,1,00-0036442,QB,Joe Burrow,Joe,Burrow,,,,Right Wrist,,Full Participation in Practice,2024-09-06 18:42:33
2024,REG,CIN,1,00-0039810,WR,Jermaine Burton,Jermaine,Burton,,,,Toe,,Full Participation in Practice,2024-09-06 18:42:33
2024,REG,CIN,1,00-0036298,LB,Akeem Davis-Gaither,Akeem,Davis-Gaither,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-06 18:43:15
2024,REG,CIN,1,00-0039908,DT,Kris Jenkins,Kris,Jenkins,Thumb,,Out,Thumb,,Did Not Participate In Practice,2024-09-06 18:45:33
2024,REG,CIN,1,00-0039925,T,Amarius Mims,Amarius,Mims,Pectoral,,Out,Pectoral,,Did Not Participate In Practice,2024-09-06 18:45:51
2024,REG,CIN,1,00-0036410,WR,Tee Higgins,Tee,Higgins,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2024-09-06 18:45:18
2024,REG,CIN,1,00-0036900,WR,Ja'Marr Chase,Ja'Marr,Chase,Not injury related - resting player,,Questionable,Not injury related - resting player,,Full Participation in Practice,2024-09-06 18:45:00
2024,REG,CLE,1,00-0032129,LB,Jordan Hicks,Jordan,Hicks,,,,Calf,,Full Participation in Practice,2024-09-06 19:01:02
2024,REG,CLE,1,00-0034746,DT,Maurice Hurst,Maurice,Hurst,,,,Hamstring,,Full Participation in Practice,2024-09-06 19:01:11
2024,REG,CLE,1,00-0032416,DE,Quinton Jefferson,Quinton,Jefferson,,,,Achilles,,Full Participation in Practice,2024-09-06 19:01:19
2024,REG,CLE,1,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,,,,Knee,,Full Participation in Practice,2024-09-06 19:00:44
2024,REG,CLE,1,00-0036915,"
    ",Jeremiah Owusu-Koramoah,Jeremiah,Owusu-Koramoah,,,,Hand,,Full Participation in Practice,2024-09-06 19:00:44
2024,REG,CLE,1,00-0039406,LB,Nathaniel Watson,Nathaniel,Watson,,,,Quadricep,,Full Participation in Practice,2024-09-06 19:01:34
2024,REG,CLE,1,00-0037251,DE,Alex Wright,Alex,Wright,,,,Elbow,,Full Participation in Practice,2024-09-06 19:00:44
2024,REG,CLE,1,00-0037257,WR,David Bell,David,Bell,,,,Quadricep,,Limited Participation in Practice,2024-09-05 19:34:16
2024,REG,CLE,1,00-0033546,DT,Dalvin Tomlinson,Dalvin,Tomlinson,,,,Knee,,Limited Participation in Practice,2024-09-06 19:00:44
2024,REG,CLE,1,00-0036267,T,Jedrick Wills,Jedrick,Wills,Knee,,Out,Knee,,Limited Participation in Practice,2024-09-06 19:03:50
2024,REG,CLE,1,00-0033057,T,Jack Conklin,Jack,Conklin,Knee,,Questionable,Knee,,Limited Participation in Practice,2024-09-06 19:03:33
2024,REG,DAL,1,00-0039387,CB,Caelen Carson,Caelen,Carson,,,,Knee,,Full Participation in Practice,2024-09-06 18:49:06
2024,REG,DAL,1,00-0037281,LB,Damone Clark,Damone,Clark,,,,Knee,,Full Participation in Practice,2024-09-06 18:49:06
2024,REG,DAL,1,00-0039900,DE,Marshawn Kneeland,Marshawn,Kneeland,,,,Knee,,Full Participation in Practice,2024-09-06 18:49:06
2024,REG,DAL,1,00-0036661,S,Israel Mukuamu,Israel,Mukuamu,,,,Groin,,Full Participation in Practice,2024-09-06 18:49:06
2024,REG,DAL,1,00-0038545,DT,Mazi Smith,Mazi,Smith,,,,Achilles,,Full Participation in Practice,2024-09-06 18:49:06
2024,REG,DAL,1,00-0037578,S,Juanyeh Thomas,Juanyeh,Thomas,,,,Groin,,Full Participation in Practice,2024-09-06 18:49:06
2024,REG,DAL,1,00-0038741,TE,John Stephens,John,Stephens,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2024-09-06 18:49:48
2024,REG,DET,1,00-0039448,S,Loren Strickland,Loren,Strickland,Thumb,,Out,Thumb,,Did Not Participate In Practice,2024-09-06 19:43:27
2024,REG,DET,1,00-0036993,S,Ifeatu Melifonwu,Ifeatu,Melifonwu,Ankle,,Doubtful,Ankle,,Limited Participation in Practice,2024-09-06 19:41:50
2024,REG,DET,1,00-0032424,DT,D.J. Reader,D.J.,Reader,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,2024-09-06 19:42:48
2024,REG,GB,1,00-0039850,LB,Edgerrin Cooper,Edgerrin,Cooper,,,,Hip,,Full Participation in Practice,2024-09-05 18:52:55
2024,REG,GB,1,00-0037816,WR,Romeo Doubs,Romeo,Doubs,,,,Hand,,Full Participation in Practice,2024-09-05 18:53:08
2024,REG,GB,1,00-0038408,CB,Carrington Valentine,Carrington,Valentine,,,,Hamstring,,Full Participation in Practice,2024-09-05 18:53:27
2024,REG,GB,1,00-0037364,DE,Arron Mosby,Arron,Mosby,Not injury related - personal matter,,Out,Did not travel to Brazil due to a personal matter and will not play in the game.,,Note,2024-09-05 19:00:32
2024,REG,GB,1,00-0038996,TE,Tucker Kraft,Tucker,Kraft,Back,,Questionable,Back,,Limited Participation in Practice,2024-09-05 18:54:59
2024,REG,GB,1,00-0039811,RB,MarShawn Lloyd,MarShawn,Lloyd,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2024-09-05 18:54:59
2024,REG,GB,1,00-0038797,RB,Emanuel Wilson,Emanuel,Wilson,Hip,,Questionable,Hip,,Limited Participation in Practice,2024-09-05 18:54:59
2024,REG,HOU,1,00-0034355,S,M.J. Stewart,M.J.,Stewart,Knee,,Out,Knee,,Did Not Participate In Practice,2024-09-06 19:07:00
2024,REG,IND,1,00-0038997,WR,Josh Downs,Josh,Downs,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-06 14:34:00
2024,REG,IND,1,00-0035269,K,Matt Gay,Matt,Gay,Hernia,,Questionable,Hernia,,Did Not Participate In Practice,2024-09-06 16:38:36
2024,REG,JAX,1,00-0032164,DE,Arik Armstead,Arik,Armstead,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06 19:11:06
2024,REG,JAX,1,00-0036306,S,Daniel Thomas,Daniel,Thomas,Achilles,,Questionable,Achilles,,Limited Participation in Practice,2024-09-06 19:11:37
2024,REG,KC,1,00-0036621,LB,Nick Bolton,Nick,Bolton,,,,Elbow,,Full Participation in Practice,2024-09-04 15:55:06
2024,REG,KC,1,00-0037198,"
    ",Nazeeh Johnson,Nazeeh,Johnson,,,,Hamstring,,Full Participation in Practice,2024-09-04 15:55:06
2024,REG,KC,1,00-0032762,DT,Chris Jones,Chris,Jones,,,,Shoulder,,Full Participation in Practice,2024-09-04 15:55:06
2024,REG,KC,1,00-0038981,T,Wanya Morris,Wanya,Morris,,,,Knee,,Full Participation in Practice,2024-09-04 15:55:06
2024,REG,KC,1,00-0034818,DT,Derrick Nnadi,Derrick,Nnadi,,,,Triceps,,Full Participation in Practice,2024-09-04 15:55:06
2024,REG,KC,1,00-0032391,G,Joe Thuney,Joe,Thuney,,,,Pectoral,,Full Participation in Practice,2024-09-04 15:55:06
2024,REG,KC,1,00-0038043,CB,Joshua Williams,Joshua,Williams,,,,Hamstring,,Full Participation in Practice,2024-09-04 15:55:06
2024,REG,KC,1,00-0030615,LS,James Winchester,James,Winchester,,,,Shoulder,,Full Participation in Practice,2024-09-04 15:55:06
2024,REG,KC,1,00-0035662,WR,Marquise Brown,Marquise,Brown,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2024-09-04 15:55:52
2024,REG,LA,1,00-0033884,CB,Tre'Davious White,Tre'Davious,White,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06 20:30:05
2024,REG,LA,1,00-0037839,CB,Cobie Durant,Cobie,Durant,,,,Hamstring,,Full Participation in Practice,2024-09-06 18:58:50
2024,REG,LA,1,00-0036258,G,Jonah Jackson,Jonah,Jackson,,,,Shoulder,,Full Participation in Practice,2024-09-06 18:54:41
2024,REG,LA,1,00-0039075,WR,Puka Nacua,Puka,Nacua,,,,Knee,,Full Participation in Practice,2024-09-06 18:54:41
2024,REG,LA,1,00-0034203,CB,Darious Williams,Darious,Williams,,,,Hamstring,,Limited Participation in Practice,2024-09-04 23:24:23
2024,REG,LA,1,00-0032242,T,Rob Havenstein,Rob,Havenstein,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2024-09-06 19:00:08
2024,REG,LAC,1,00-0036355,QB,Justin Herbert,Justin,Herbert,,,,Foot,,Full Participation in Practice,2024-09-06 21:17:58
2024,REG,LAC,1,00-0036988,WR,Josh Palmer,Josh,Palmer,,,,Knee,,Full Participation in Practice,2024-09-06 21:17:58
2024,REG,LAC,1,00-0034777,WR,D.J. Chark,D.J.,Chark,Hip,,Out,Hip,,Did Not Participate In Practice,2024-09-06 21:19:03
2024,REG,LAC,1,00-0039366,CB,Tarheeb Still,Tarheeb,Still,Hip,,Questionable,Hip,,Full Participation in Practice,2024-09-06 21:18:55
2024,REG,LAC,1,00-0036617,CB,Asante Samuel,Asante,Samuel,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2024-09-06 21:18:55
2024,REG,LV,1,00-0035757,LS,Jacob Bobenmoyer,Jacob,Bobenmoyer,,,,Abdomen,,Full Participation in Practice,2024-09-06 21:18:40
2024,REG,LV,1,00-0039338,TE,Brock Bowers,Brock,Bowers,,,,Foot,,Full Participation in Practice,2024-09-06 21:18:51
2024,REG,LV,1,00-0034759,T,Kolton Miller,Kolton,Miller,,,,Shoulder,,Full Participation in Practice,2024-09-06 21:18:40
2024,REG,LV,1,00-0034720,LB,Robert Spillane,Robert,Spillane,,,,Back,,Full Participation in Practice,2024-09-06 21:18:40
2024,REG,LV,1,00-0038541,DE,Tyree Wilson,Tyree,Wilson,,,,Foot,,Full Participation in Practice,2024-09-06 21:18:40
2024,REG,LV,1,00-0036989,DE,Malcolm Koonce,Malcolm,Koonce,Knee,,Out,Knee,,Did Not Participate In Practice,2024-09-06 21:20:19
2024,REG,LV,1,00-0039735,G,Jackson Powers-Johnson,Jackson,Powers-Johnson,Illness,,Out,Illness,,Did Not Participate In Practice,2024-09-06 21:21:39
2024,REG,LV,1,00-0039357,CB,Decamerion Richardson,Decamerion,Richardson,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2024-09-06 21:21:46
2024,REG,LV,1,00-0039374,LB,Tommy Eichenberg,Tommy,Eichenberg,Knee,,Questionable,Knee,,Limited Participation in Practice,2024-09-06 21:20:13
2024,REG,MIA,1,00-0030067,T,Terron Armstead,Terron,Armstead,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-04 19:07:56
2024,REG,MIA,1,00-0026190,DE,Calais Campbell,Calais,Campbell,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-04 19:08:21
2024,REG,MIA,1,00-0035000,LB,Quinton Bell,Quinton,Bell,,,,Thumb,,Full Participation in Practice,2024-09-06 19:44:36
2024,REG,MIA,1,00-0036171,G,Aaron Brewer,Aaron,Brewer,,,,Hand,,Full Participation in Practice,2024-09-06 19:44:57
2024,REG,MIA,1,00-0036998,S,Jevon Holland,Jevon,Holland,,,,Ankle,,Full Participation in Practice,2024-09-06 19:44:36
2024,REG,MIA,1,00-0035841,DT,Benito Jones,Benito,Jones,,,,Knee,,Full Participation in Practice,2024-09-06 19:44:50
2024,REG,MIA,1,00-0036934,LB,Jaelan Phillips,Jaelan,Phillips,,,,Achilles,Not injury related - resting p,Full Participation in Practice,2024-09-06 19:44:36
2024,REG,MIA,1,00-0030114,S,Jordan Poyer,Jordan,Poyer,,,,Thumb,Not injury related - resting p,Full Participation in Practice,2024-09-06 19:44:36
2024,REG,MIA,1,00-0033570,LB,Anthony Walker,Anthony,Walker,,,,Knee,Not injury related - resting p,Full Participation in Practice,2024-09-06 19:44:36
2024,REG,MIA,1,00-0033084,CB,Kendall Fuller,Kendall,Fuller,,,,Not injury related - resting player,,Limited Participation in Practice,2024-09-04 20:38:36
2024,REG,MIA,1,00-0035292,LB,David Long,David,Long,,,,Not injury related - resting player,,Limited Participation in Practice,2024-09-04 20:39:28
2024,REG,MIA,1,00-0039880,WR,Malik Washington,Malik,Washington,Quadricep,,Out,Quadricep,,Did Not Participate In Practice,2024-09-06 19:45:40
2024,REG,MIA,1,00-0033055,CB,Jalen Ramsey,Jalen,Ramsey,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2024-09-06 19:46:23
2024,REG,MIN,1,00-0029542,CB,Stephon Gilmore,Stephon,Gilmore,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06 19:01:38
2024,REG,MIN,1,00-0029606,"
    ",Harrison Smith,Harrison,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06 19:01:54
2024,REG,MIN,1,00-0038994,WR,Jordan Addison,Jordan,Addison,,,,Ankle,,Full Participation in Practice,2024-09-06 19:00:48
2024,REG,MIN,1,00-0037291,WR,Jalen Nailor,Jalen,Nailor,,,,Ankle,,Full Participation in Practice,2024-09-06 19:00:54
2024,REG,NE,1,00-0036813,LB,Christian Elliss,Christian,Elliss,,,,Concussion,,Full Participation in Practice,2024-09-04 20:06:59
2024,REG,NE,1,00-0033090,TE,Hunter Henry,Hunter,Henry,,,,Foot,,Full Participation in Practice,2024-09-06 18:55:29
2024,REG,NE,1,00-0036193,LB,Anfernee Jennings,Anfernee,Jennings,,,,Wrist,,Full Participation in Practice,2024-09-06 18:55:29
2024,REG,NE,1,00-0032580,CB,Jonathan Jones,Jonathan,Jones,,,,Hamstring,,Full Participation in Practice,2024-09-06 18:55:29
2024,REG,NE,1,00-0033947,DE,Deatrich Wise,Deatrich,Wise,,,,Hamstring,,Full Participation in Practice,2024-09-06 18:55:29
2024,REG,NE,1,00-0035708,LB,Oshane Ximines,Oshane,Ximines,,,,Ankle,,Full Participation in Practice,2024-09-06 18:55:29
2024,REG,NE,1,00-0038569,G,Sidy Sow,Sidy,Sow,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-06 18:57:33
2024,REG,NE,1,00-0033883,S,Jabrill Peppers,Jabrill,Peppers,Hip,,Questionable,,,"
    ",2024-09-07 15:13:14
2024,REG,NE,1,00-0036159,LB,Joshua Uche,Joshua,Uche,Foot,,Questionable,Foot,,Full Participation in Practice,2024-09-06 18:59:16
2024,REG,NE,1,00-0036328,RB,Antonio Gibson,Antonio,Gibson,Hip,,Questionable,Hip,,Limited Participation in Practice,2024-09-06 18:57:08
2024,REG,NE,1,00-0037287,T,Vederian Lowe,Vederian,Lowe,Abdomen,,Questionable,Abdomen,,Limited Participation in Practice,2024-09-06 18:57:08
2024,REG,NO,1,00-0033874,CB,Marshon Lattimore,Marshon,Lattimore,,,,Hip,,Full Participation in Practice,2024-09-06 19:02:20
2024,REG,NO,1,00-0036927,LB,Pete Werner,Pete,Werner,,,,Shoulder,,Full Participation in Practice,2024-09-06 19:02:20
2024,REG,NO,1,00-0039388,LB,Jaylan Ford,Jaylan,Ford,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2024-09-06 19:02:56
2024,REG,NO,1,00-0039613,TE,Dallin Holker,Dallin,Holker,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-06 19:03:05
2024,REG,NO,1,00-0037271,LB,D'Marco Jackson,D'Marco,Jackson,Calf,,Out,Calf,,Did Not Participate In Practice,2024-09-06 19:03:14
2024,REG,NO,1,00-0035656,DT,Khalen Saunders,Khalen,Saunders,Calf,,Out,Calf,,Did Not Participate In Practice,2024-09-06 19:03:21
2024,REG,NO,1,00-0038612,WR,A.T. Perry,A.T.,Perry,Hand,,Questionable,Hand,,Did Not Participate In Practice,2024-09-06 19:02:29
2024,REG,NO,1,00-0036362,LB,Willie Gay,Willie,Gay,Back,,Questionable,Back,,Limited Participation in Practice,2024-09-06 19:02:29
2024,REG,NO,1,00-0038566,G,Nick Saldiveri,Nick,Saldiveri,Calf,,Questionable,Calf,,Limited Participation in Practice,2024-09-06 19:02:29
2024,REG,NYG,1,00-0038123,S,Dane Belton,Dane,Belton,,,,Back,,Limited Participation in Practice,2024-09-06 18:41:10
2024,REG,NYG,1,00-0035713,LB,Brian Burns,Brian,Burns,,,,Ankle,,Limited Participation in Practice,2024-09-06 18:41:33
2024,REG,NYG,1,00-0035704,QB,Drew Lock,Drew,Lock,,,,Abdomen,,Limited Participation in Practice,2024-09-06 18:41:10
2024,REG,NYG,1,00-0037259,LB,Micah McFadden,Micah,McFadden,,,,Groin,,Limited Participation in Practice,2024-09-06 18:41:10
2024,REG,NYG,1,00-0035645,WR,Gunner Olszewski,Gunner,Olszewski,,,,Groin,,Limited Participation in Practice,2024-09-06 18:41:10
2024,REG,NYJ,1,00-0038401,CB,Jarrick Bernard-Converse,Jarrick,Bernard-Converse,,,,Groin,,Full Participation in Practice,2024-09-07 18:34:31
2024,REG,NYJ,1,00-0038114,T,Max Mitchell,Max,Mitchell,,,,Shoulder,,Full Participation in Practice,2024-09-07 18:34:31
2024,REG,NYJ,1,00-0037601,G,Xavier Newman-Johnson,Xavier,Newman-Johnson,,,,Shoulder,,Full Participation in Practice,2024-09-07 18:34:31
2024,REG,NYJ,1,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-07 18:34:31
2024,REG,NYJ,1,00-0033536,WR,Mike Williams,Mike,Williams,,,,Knee,,Full Participation in Practice,2024-09-07 18:34:31
2024,REG,NYJ,1,00-0038399,LB,Zaire Barnes,Zaire,Barnes,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-07 18:35:15
2024,REG,NYJ,1,00-0032432,G,Wes Schweitzer,Wes,Schweitzer,Hand,,Out,Hand,,Did Not Participate In Practice,2024-09-07 18:35:22
2024,REG,PHI,1,00-0035676,WR,A.J. Brown,A.J.,Brown,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-05 19:21:06
2024,REG,PHI,1,00-0037002,G,Landon Dickerson,Landon,Dickerson,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-05 19:21:06
2024,REG,PHI,1,00-0035707,LB,Devin White,Devin,White,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-04 12:55:19
2024,REG,PHI,1,00-0036222,CB,Isaiah Rodgers,Isaiah,Rodgers,Hand,,Out,Hand,,Limited Participation in Practice,2024-09-05 19:22:30
2024,REG,PIT,1,00-0039871,T,Troy Fautanu,Troy,Fautanu,,,,Knee,,Full Participation in Practice,2024-09-06 19:22:17
2024,REG,PIT,1,00-0038639,CB,Cory Trice,Cory,Trice,,,,Groin,,Full Participation in Practice,2024-09-06 19:22:17
2024,REG,PIT,1,00-0037228,RB,Jaylen Warren,Jaylen,Warren,,,,Hamstring,,Full Participation in Practice,2024-09-06 19:22:17
2024,REG,PIT,1,00-0038558,TE,Darnell Washington,Darnell,Washington,,,,Knee,,Full Participation in Practice,2024-09-06 19:22:32
2024,REG,PIT,1,00-0039389,DE,Logan Lee,Logan,Lee,Calf,,Out,Calf,,Did Not Participate In Practice,2024-09-06 19:23:49
2024,REG,PIT,1,00-0032954,G,Isaac Seumalo,Isaac,Seumalo,Pectoral,,Out,Pectoral,,Did Not Participate In Practice,2024-09-06 19:23:55
2024,REG,PIT,1,00-0039739,WR,Roman Wilson,Roman,Wilson,Ankle,,Out,Ankle,,Limited Participation in Practice,2024-09-06 19:24:14
2024,REG,PIT,1,00-0029263,QB,Russell Wilson,Russell,Wilson,Calf,,Questionable,Calf,,Limited Participation in Practice,2024-09-06 19:24:26
2024,REG,SEA,1,00-0035644,TE,Noah Fant,Noah,Fant,,,,Toe,,Full Participation in Practice,2024-09-06 20:29:02
2024,REG,SEA,1,00-0033941,S,Rayshawn Jenkins,Rayshawn,Jenkins,,,,Calf,,Full Participation in Practice,2024-09-06 20:29:10
2024,REG,SEA,1,00-0035678,LB,Dre'Mont Jones,Dre'Mont,Jones,,,,Hamstring,,Full Participation in Practice,2024-09-06 20:29:23
2024,REG,SEA,1,00-0033439,TE,Pharaoh Brown,Pharaoh,Brown,Foot,,Out,Foot,,Did Not Participate In Practice,2024-09-06 19:44:44
2024,REG,SEA,1,00-0034350,LB,Uchenna Nwosu,Uchenna,Nwosu,Knee,,Out,Knee,,Did Not Participate In Practice,2024-09-06 19:45:15
2024,REG,SEA,1,00-0032211,WR,Tyler Lockett,Tyler,Lockett,Thigh,,Questionable,Thigh,,Full Participation in Practice,2024-09-06 19:44:26
2024,REG,SF,1,00-0039435,LB,Tatum Bethune,Tatum,Bethune,,,,Ankle,,Full Participation in Practice,2024-09-07 20:55:27
2024,REG,SF,1,00-0037829,G,Spencer Burford,Spencer,Burford,,,,Hand,,Full Participation in Practice,2024-09-07 20:55:27
2024,REG,SF,1,00-0039363,RB,Isaac Guerendo,Isaac,Guerendo,,,,Groin,,Full Participation in Practice,2024-09-07 20:55:38
2024,REG,SF,1,00-0036259,WR,Jauan Jennings,Jauan,Jennings,,,,Ankle,,Full Participation in Practice,2024-09-07 20:55:46
2024,REG,SF,1,00-0034941,P,Mitch Wishnowsky,Mitch,Wishnowsky,,,,Back,Right Knee,Full Participation in Practice,2024-09-07 20:55:27
2024,REG,SF,1,00-0036288,DE,Yetur Gross-Matos,Yetur,Gross-Matos,Knee,,Out,Knee,,Did Not Participate In Practice,2024-09-07 20:56:17
2024,REG,SF,1,00-0038625,LB,Dee Winters,Dee,Winters,Ankle,,Out,Ankle,,Did Not Participate In Practice,2024-09-07 20:56:26
2024,REG,SF,1,00-0036564,S,Talanoa Hufanga,Talanoa,Hufanga,Knee,,Doubtful,Knee,,Limited Participation in Practice,2024-09-07 20:56:32
2024,REG,SF,1,00-0036551,G,Aaron Banks,Aaron,Banks,Finger,,Questionable,Finger,,Limited Participation in Practice,2024-09-07 20:56:02
2024,REG,SF,1,00-0033280,RB,Christian McCaffrey,Christian,McCaffrey,Calf,Achilles,Questionable,Calf,Achilles,Limited Participation in Practice,2024-09-07 20:56:02
2024,REG,TB,1,00-0036855,DE,Earnest Brown,Earnest,Brown,,,,Ribs,,Did Not Participate In Practice,2024-09-05 19:37:25
2024,REG,TB,1,00-0039049,LB,SirVocea Dennis,SirVocea,Dennis,,,,Shoulder,,Full Participation in Practice,2024-09-06 19:49:13
2024,REG,TB,1,00-0039068,LB,YaYa Diaby,YaYa,Diaby,,,,Ankle,,Full Participation in Practice,2024-09-06 19:49:13
2024,REG,TB,1,00-0039586,CB,Tyrek Funderburk,Tyrek,Funderburk,,,,Foot,,Full Participation in Practice,2024-09-06 19:49:13
